content,score,sentiment,sentiment_label
One of the best apps,5,1.0,Positive
my account ban 😭,1,0.0,Neutral
"Basically, personal accounts get suspended for vague reasons, while spam/explicit accounts and ads run freely on this app. This is my second private personal account to be suspended for no reason at all",1,-0.016666666666666663,Negative
good,5,0.7,Positive
increase my followers,4,0.0,Neutral
Blocking accounts without any reasons. Support is AI and not giving any solutions,1,0.0,Neutral
Good App but stop banning my accounts for no reason,5,0.7,Positive
dirty app noob app 🤮🤮🤮,1,-0.6,Negative
my 8 accounts has been suspended since 10 may 😡,1,0.0,Neutral
"Very bad application. After using so much AI algorithms Instagram stop working good. They starting blocking normal accounts. Closing business accounts even without breaking rules. No one answearing. They god lot of money and stopped taking care about customers, users.",1,0.028000000000000042,Positive
had a great experience with this app this app works so nice nd had a vry grt experience,5,0.7,Positive
LET US UPLOAD PICTURE IN COMMENT SECTION,5,0.0,Neutral
love it,5,0.5,Positive
Bad app goodbye,1,-0.6999999999999998,Negative
veryy badd insta team u suspend my all acc I have done nothing i just make acc fir meme page and they suspend thay ca say to remove content but directly suspend my all acc plus my main acc also I have done nothing byy Insta downfall,1,0.13333333333333333,Positive
it cool but you guys should try to some times don't block people account for no reason and make it very difficult to get back because i just got mine back after a long period of blocking for no reason so pls you should try and solve that when that is solved your app will stand out best and strong,3,0.15476190476190474,Positive
nice,5,0.6,Positive
"Hey Instagram, when I post a story on my Instagram, I don't get the restyle option, so please bring it to my Instagram account somehow.",3,0.0,Neutral
I'm so disappointed cause mina won't show filters 😔😭 and other filters won't do,1,-0.4375,Negative
good,5,0.7,Positive
to work with it,5,0.0,Neutral
I dont have the carousel feature.,1,0.0,Neutral
live laugh love insta!,5,0.35378787878787876,Positive
the repost button suddenly disappeared,1,0.0,Neutral
"When you tap on a picture to see it and then go back to the photo list in an account, it doesn't remember where you left off and goes back to the top every time. Also, the UI bug in Pixel 7 pro phones persists. Posts that are 2 pictures or more always start at the second picture.",3,0.16666666666666666,Positive
